"","Car model","Price","Power","Transmission","Wheels-drive","Size","Trunk size","Weight","Top speed","Acceleration","Fuel consumption","Aesthetic value","Brand value","Equipment","Preference value"
"70","Peugeot 306 XT 1.8",110300,103,"manual","front",9.4,338,1080,185,33.8,9.7,"3","3",31,53.311904
"71","Peugeot 306 S16",145300,150,"manual","front",9.4,338,1160,215,30.3,10.2,"3","3",49,61.407142
"72","Peugeot 405 2.0",133700,123,"manual","front",10.4,470,1135,197,32.8,9.3,"3","3",43,62.669047
"73","Peugeot 405 Mi16",165000,150,"manual","front",10.5,470,1180,215,31.1,10.1,"3","3",43,64.192857
"74","Peugeot 405 T16",224000,200,"manual","four-wheel",10.5,392,1340,235,27.7,12.3,"3","3",58,66.19742
"75","Peugeot 605 SRI",167500,135,"manual","front",12.1,497,1440,205,32.3,10.3,"4","3",44,61.054761
"76","Peugeot 605 SV3.0",262000,170,"manual","front",12.1,497,1570,222,29.8,12.6,"4","3",69,44.1849
"77","Renault Clio 16V",119000,137,"manual","front",8.3,265,1000,209,30.2,8.9,"3","2",41,58.966666
"78","Renault 19 16S",134000,137,"manual","front",9.8,386,1135,212,30.7,9.3,"3","2",41,61.75238
"79","Renault Laguna RXE 2.0",139000,115,"manual","front",11.3,452,1245,200,33.2,10,"5","2",43,58.380952
"80","Renault Laguna V6",189000,170,"manual","front",11.3,452,1370,220,30,12.3,"5","2",75,65.765761
"81","Renault Laguna Baccara V6",202000,170,"manual","front",11.3,452,1370,220,30,12.3,"5","2",77,65.719336
"82","Renault Safrane RT 2.0",163000,107,"manual","front",12.4,480,1370,189,33.9,10.2,"4","2",41,54.9
"83","Renault Safrane RXE 2.2",235000,140,"manual","front",12.4,480,1410,206,32.9,11.8,"4","2",75,57.032025
"84","Renault Safrane RXE V6",262000,170,"manual","front",12.4,480,1465,220,30.4,12.2,"4","2",75,47.095447
"85","Rover 220 GSi",119500,136,"manual","front",9.9,350,1160,202,31,9.4,"3","2",42,60.3
"86","Rover 420 GSi",119500,136,"manual","front",10.3,410,1165,201,30.4,9.3,"4","2",49,66.4
"87","Rover 620 Si ABS",139150,131,"manual","front",10.9,430,1270,200,32.3,9.9,"4","2",50,61.685714
"88","Rover 623 Si",169000,158,"manual","front",10.9,430,1320,216,31,10.5,"4","2",62,66.542857
"89","Rover 820 Ti Lux",196850,180,"manual","front",11.7,530,1410,220,29,11.1,"4","2",71,69.566586
"90","SAAB 900 S 2.0-16",147800,130,"manual","front",11.4,451,1285,200,31.8,10.2,"4","4",50,62.519047
"91","SAAB 900 S 2.3-16",158400,150,"manual","front",11.4,451,1295,210,30.3,10.1,"4","4",55,67.423809
"92","SAAB 900 SE 2.5 V6",207000,170,"manual","front",11.4,451,1430,225,28.9,10.8,"4","4",68,72.210321
"93","SAAB 900 SE 2.0 Turbo",217395,185,"manual","front",11.4,451,1415,230,28.3,10.4,"5","4",68,76.692833
"94","SAAB 9000 CSE 2.3-16",212700,147,"manual","front",12,610,1335,210,31.6,10.9,"5","4",69,66.968336
"95","SAAB 9000 CS Ecopower",247000,170,"manual","front",12,610,1345,220,29.1,11.9,"5","4",71,64.353345
"96","SAAB 9000 CSE 2.3 Turbo",278000,200,"manual","front",12,610,1355,235,27.5,10.9,"5","4",71,42.048675
"97","Toyota Carina E 2.0 GLi",132450,133,"manual","front",10.8,470,1220,205,31.3,8.6,"4","3",42,66.269047
"98","Volvo 440 GLE 2.0",123900,109,"manual","front",10.2,330,1040,186,32,9.8,"3","4",45,59.395238
"99","Volvo 440 1.8 Turbo",134000,120,"manual","front",10.2,330,1069,197,30.7,9.9,"3","4",55,62.680952
"100","Volvo 850 GLT 2.0",170000,143,"manual","front",11.6,445,1340,202,33.6,10.4,"4","4",54,63.87619
"101","Volvo 850 GLT 2.5",189000,170,"manual","front",11.6,445,1330,215,30.1,10.4,"4","4",54,70.447619
"102","Volvo 850 T5",239000,225,"manual","front",11.6,445,1415,240,27.7,11.7,"5","4",71,76.397945
"103","Volvo 940 GLE 2.3",140000,130,"manual","rear",12,471,1383,185,31,12,"4","4",44,61.62375
"104","Volvo 940 2.3 Cote Sud",157000,130,"manual","rear",12,471,1383,185,31,12,"4","4",75,66.562021
"105","WW Golf GL",107900,90,"manual","front",9.6,330,1020,180,33.4,9.2,"3","2",42,50.490476
"106","WW Golf GTI 16 S",142100,150,"manual","front",9.6,330,1090,215,29.5,9.2,"3","2",50,63.490476
"107","WW Golf VR 6",170100,174,"manual","front",9.6,330,1155,225,28.1,10.4,"3","2",55,65.014285
"108","WW Vento GL",107900,90,"manual","front",10.5,550,1075,180,33.4,9.2,"3","2",34,53.323809
"109","WW Vento GT",124300,150,"manual","front",10.5,550,1090,215,30,9.2,"3","2",39,66.371428
"110","WW Vento VR6",174500,174,"manual","front",10.5,550,1210,225,28.5,10.4,"3","2",55,68.180952
"111","WW Passat GL",146800,115,"manual","front",11.3,495,1240,195,32.8,9.1,"4","2",50,58.447619
"112","WW Passat GT 16S",169500,150,"manual","front",11.3,495,1315,213,30,10,"4","2",55,64.87619
"113","WW Passat VR6",197800,174,"manual","front",11.3,495,1365,224,29.2,11.6,"4","2",55,64.63776
